ablation_group,ablation_item,target_or_scope,metric,value,std,status,is_posthoc,paper_safe_claim,paper_forbidden_claim,source_file
representation_learning,hetero_gnn,pooled_primary,roc_auc_mean,0.927738949238232,0.0749543680418093,baseline_context,False,Representation baselines provide context for model integration.,Do not claim one model universally dominates from pooled results alone.,output\week4\metrics\pooled_primary_summary.csv
representation_learning,logistic_regression,pooled_primary,roc_auc_mean,0.8938436323292006,0.0589589056013301,baseline_context,False,Representation baselines provide context for model integration.,Do not claim one model universally dominates from pooled results alone.,output\week4\metrics\pooled_primary_summary.csv
representation_learning,mlp,pooled_primary,roc_auc_mean,0.8876123401623104,0.0571471382069332,baseline_context,False,Representation baselines provide context for model integration.,Do not claim one model universally dominates from pooled results alone.,output\week4\metrics\pooled_primary_summary.csv
representation_learning,heco_frozen_linear,heco_probe,roc_auc_mean,0.8996674057649668,0.0187079124508716,pretraining_context,False,HeCo probing/fine-tuning is useful but must be compared against split variance.,Do not claim HeCo universally outperforms HeteroGNN.,output\week5\metrics\heco_probe_summary.csv
representation_learning,heco_full_finetune,heco_probe,roc_auc_mean,0.9842941611234296,0.0043530003656281,pretraining_context,False,HeCo probing/fine-tuning is useful but must be compared against split variance.,Do not claim HeCo universally outperforms HeteroGNN.,output\week5\metrics\heco_probe_summary.csv
representation_learning,head_attention,pooled_primary,roc_auc_mean,0.9321514888634772,0.0715583025334608,head_ablation_context,True,Head choice affects stability and should be reported as an integration boundary.,Do not claim a head ablation proves general model superiority.,output\week6_head_ablation\metrics\head_ablation_summary.csv
representation_learning,head_fixed_mean,pooled_primary,roc_auc_mean,0.9735092576177454,0.016320530954841,head_ablation_context,True,Head choice affects stability and should be reported as an integration boundary.,Do not claim a head ablation proves general model superiority.,output\week6_head_ablation\metrics\head_ablation_summary.csv
representation_learning,head_linear,pooled_primary,roc_auc_mean,0.9474739679115683,0.0563897745675681,head_ablation_context,True,Head choice affects stability and should be reported as an integration boundary.,Do not claim a head ablation proves general model superiority.,output\week6_head_ablation\metrics\head_ablation_summary.csv
representation_learning,head_metapath_only,pooled_primary,roc_auc_mean,0.8294385964664601,0.0338698675964572,head_ablation_context,True,Head choice affects stability and should be reported as an integration boundary.,Do not claim a head ablation proves general model superiority.,output\week6_head_ablation\metrics\head_ablation_summary.csv
representation_learning,head_mlp_64,pooled_primary,roc_auc_mean,0.9705483583159852,0.015506583130578,head_ablation_context,True,Head choice affects stability and should be reported as an integration boundary.,Do not claim a head ablation proves general model superiority.,output\week6_head_ablation\metrics\head_ablation_summary.csv
representation_learning,head_schema_only,pooled_primary,roc_auc_mean,0.9413379167659864,0.0474107681506904,head_ablation_context,True,Head choice affects stability and should be reported as an integration boundary.,Do not claim a head ablation proves general model superiority.,output\week6_head_ablation\metrics\head_ablation_summary.csv
transfer_method,dann,T1_Nordic,primary_metric_value_mean,0.2709677419354838,0.0694859975114129,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,dann_strurw,T1_Nordic,primary_metric_value_mean,0.2580645161290323,0.086557470096766,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,source_only,T1_Nordic,primary_metric_value_mean,0.2064516129032258,0.1052226221309683,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,strurw,T1_Nordic,primary_metric_value_mean,0.1419354838709677,0.0328969000876953,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,dann,T2_ON,primary_metric_value_mean,0.3596254943407681,0.0249345808547475,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,dann_strurw,T2_ON,primary_metric_value_mean,0.0242694512342791,0.0327245625508354,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,source_only,T2_ON,primary_metric_value_mean,0.3027596900275405,0.0511830795987792,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,strurw,T2_ON,primary_metric_value_mean,0.0002667256255397,0.000176147105757,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,dann,T2_PH,primary_metric_value_mean,0.5375,0.1333333333333333,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,dann_strurw,T2_PH,primary_metric_value_mean,0.7458333333333333,0.1730044957668891,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,source_only,T2_PH,primary_metric_value_mean,0.6416666666666666,0.1224744871391589,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,strurw,T2_PH,primary_metric_value_mean,0.6458333333333334,0.2024159633581853,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,dann,T3_DiagnoseFrance,primary_metric_value_mean,0.9748271604938272,0.0319663555795981,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,dann_strurw,T3_DiagnoseFrance,primary_metric_value_mean,0.9750617283950618,0.0337641117398196,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,source_only,T3_DiagnoseFrance,primary_metric_value_mean,0.9861234567901236,0.0185788072121765,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,strurw,T3_DiagnoseFrance,primary_metric_value_mean,0.9904782326185836,0.0059463661335603,target_dependent_transfer,True,Transfer methods are target-dependent and must be read against source-only.,Do not claim DANN/StruRW solve transfer.,output\week7\metrics\transfer_method_summary.csv
transfer_method,IRM,not_available,not_run,,,not_implemented_not_citable,True,IRM is not available as current evidence.,Do not cite IRM as implemented or validated.,src/transfer/irm_penalty.py
feature_bucket,C1_full,T1_Nordic,primary_metric_value_mean,0.2064516129032258,0.1052226221309683,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C2_no_cctld,T1_Nordic,primary_metric_value_mean,0.2,0.0800624106192958,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C3_no_website_lexical,T1_Nordic,primary_metric_value_mean,0.0451612903225806,0.0387096774193548,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C4_graph_only,T1_Nordic,primary_metric_value_mean,0.0451612903225806,0.0387096774193548,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C5_lex_only,T1_Nordic,primary_metric_value_mean,0.3548387096774193,0.171908549606119,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C6_no_edges,T1_Nordic,primary_metric_value_mean,0.3548387096774193,0.171908549606119,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C7_no_cert_edge,T1_Nordic,primary_metric_value_mean,0.2387096774193548,0.2331523999947439,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C8_no_registrar_edge,T1_Nordic,primary_metric_value_mean,0.2451612903225806,0.1234266223852192,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C9_infra_edges_only,T1_Nordic,primary_metric_value_mean,0.2129032258064516,0.0991115580370143,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
feature_bucket,C1_full,T2_ON,primary_metric_value_mean,0.3027596900275405,0.0511830795987792,feature_bucket_diagnostic,True,Feature bucket ablation diagnoses shortcut and structure boundaries.,Do not infer pure structural transfer from full-feature AUC alone.,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv
